replicate,treatment,card-no,percent_area_spray
1,drift,1,1.335
1,drift,2,1.702
1,drift,3,0.333
1,drift,4,0.567
1,spray,2,99.411
1,spray,3,99.388
1,spray,4,99.132
1,control,1,0
1,control,2,0
1,control,3,0.002
1,control,4,0.033
2,drift,1,1.096
2,drift,2,1.487
2,drift,3,2.367
2,drift,4,1.035
2,spray,1,98.976
2,spray,2,98.839
2,spray,3,97.923
2,spray,4,99.659
2,control,1,0.013
2,control,3,0.052
3,drift,1,0.234
3,drift,2,0.564
3,drift,3,0.229
3,drift,4,0.231
3,spray,1,98.851
3,spray,2,97.84
3,spray,3,99.598
3,spray,4,98.169
3,control,1,0.002
3,control,2,0
3,control,3,0
3,control,4,0
4,drift,1,2.539
4,drift,2,5.061
4,drift,3,1.442
4,drift,4,2.074
4,spray,1,98.804
4,spray,2,99.036
4,spray,3,98.503
4,spray,4,98.779
4,control,1,0
4,control,2,0
4,control,3,0.001