replicate,treatment,vial_id,n_all_24,n_dead_24,n_alive_24,n_all_48,n_dead_48,n_alive_48
1,bwcontrol_leafcontrol,1.31,8,1,7,8,1,7
1,bwcontrol_leafcontrol,1.32,9,0,9,9,1,8
1,bwcontrol_leafcontrol,1.33,10,0,10,10,0,10
1,bwcontrol_leafna,1.1,10,0,10,10,0,10
1,bwcontrol_leafna,1.1,10,1,9,10,3,7
1,bwcontrol_leafna,1.2,10,0,10,10,6,4
1,bwcontrol_leafna,1.3,10,0,10,10,2,8
1,bwcontrol_leafna,1.4,11,1,10,11,2,9
1,bwcontrol_leafna,1.5,10,0,10,10,0,10
1,bwcontrol_leafna,1.6,9,0,9,9,1,8
1,bwcontrol_leafna,1.7,10,0,10,10,0,10
1,bwcontrol_leafna,1.8,10,0,10,10,0,10
1,bwcontrol_leafna,1.9,10,0,10,5,0,5
1,bwcontrol_leafspray,1.34,10,3,7,10,6,4
1,bwcontrol_leafspray,1.35,10,5,5,10,5,5
1,bwcontrol_leafspray,1.36,10,2,8,10,5,5
1,bwdrift_leafna,1.11,10,0,10,10,0,10
1,bwdrift_leafna,1.12,10,0,10,10,4,6
1,bwdrift_leafna,1.13,10,0,10,10,0,10
1,bwdrift_leafna,1.14,10,0,10,10,2,8
1,bwdrift_leafna,1.15,10,0,10,10,0,10
1,bwdrift_leafna,1.16,10,0,10,10,2,8
1,bwdrift_leafna,1.17,9,0,9,9,0,9
1,bwdrift_leafna,1.18,10,0,10,10,3,7
1,bwdrift_leafna,1.19,8,0,8,7,0,7
1,bwdrift_leafna,1.2,9,0,9,6,0,6
1,bwna_leafspray,1.4,10,4,6,10,10,0
1,bwna_leafspray,1.41,10,10,0,10,10,0
1,bwna_leafspray,1.42,9,5,4,9,7,2
1,bwspray_leafna,1.21,10,3,7,10,3,7
1,bwspray_leafna,1.22,10,1,9,10,2,8
1,bwspray_leafna,1.23,9,5,4,9,8,1
1,bwspray_leafna,1.24,10,7,3,10,8,2
1,bwspray_leafna,1.25,9,0,9,9,4,5
1,bwspray_leafna,1.26,10,1,9,10,4,6
1,bwspray_leafna,1.27,10,4,6,10,6,4
1,bwspray_leafna,1.28,10,1,9,10,5,5
1,bwspray_leafna,1.29,9,2,7,9,8,1
1,bwspray_leafna,1.3,10,6,4,10,8,2
1,bwspray_leafspray,1.37,10,6,4,10,7,3
1,bwspray_leafspray,1.38,10,1,9,10,4,6
1,bwspray_leafspray,1.39,10,4,6,10,7,3
2,bwcontrol_leafna,2.1,10,2,8,10,2,8
2,bwcontrol_leafna,2.1,10,0,10,10,1,9
2,bwcontrol_leafna,2.2,10,0,10,10,0,10
2,bwcontrol_leafna,2.3,11,1,10,11,2,9
2,bwcontrol_leafna,2.4,10,0,10,10,0,10
2,bwcontrol_leafna,2.5,10,0,10,10,0,10
2,bwcontrol_leafna,2.6,10,1,9,10,1,9
2,bwcontrol_leafna,2.7,10,0,10,10,0,10
2,bwcontrol_leafna,2.8,10,0,10,10,0,10
2,bwcontrol_leafna,2.9,9,0,9,9,0,9
2,bwdrift_leafna,2.11,10,0,10,10,1,9
2,bwdrift_leafna,2.12,10,0,10,10,2,8
2,bwdrift_leafna,2.13,10,0,10,10,2,8
2,bwdrift_leafna,2.14,10,0,10,10,0,10
2,bwdrift_leafna,2.15,10,0,10,10,2,8
2,bwdrift_leafna,2.16,10,0,10,10,0,10
2,bwdrift_leafna,2.17,10,0,10,10,1,9
2,bwdrift_leafna,2.18,11,1,10,11,2,9
2,bwdrift_leafna,2.19,11,1,10,11,2,9
2,bwdrift_leafna,2.2,10,0,10,10,3,7
2,bwspray_leafna,2.21,10,2,8,10,6,4
2,bwspray_leafna,2.22,10,0,10,10,6,4
2,bwspray_leafna,2.23,10,3,7,10,10,0
2,bwspray_leafna,2.24,10,0,10,10,5,5
2,bwspray_leafna,2.25,10,3,7,10,9,1
2,bwspray_leafna,2.26,10,2,8,10,8,2
2,bwspray_leafna,2.27,10,0,10,10,2,8
2,bwspray_leafna,2.28,10,4,6,10,4,6
2,bwspray_leafna,2.29,10,3,7,10,10,0
2,bwspray_leafna,2.3,10,3,7,10,6,4
3,bwcontrol_leafcontrol,3.31,10,0,10,10,0,10
3,bwcontrol_leafcontrol,3.32,9,0,9,9,1,8
3,bwcontrol_leafcontrol,3.33,10,0,10,10,1,9
3,bwcontrol_leafcontrol,3.34,10,1,9,10,1,9
3,bwcontrol_leafcontrol,3.35,8,0,8,8,2,6
3,bwcontrol_leafcontrol,3.36,10,0,10,10,1,9
3,bwcontrol_leafna,3.1,10,0,10,10,1,9
3,bwcontrol_leafna,3.1,9,0,9,9,0,9
3,bwcontrol_leafna,3.2,10,0,10,10,2,8
3,bwcontrol_leafna,3.3,9,0,9,9,1,8
3,bwcontrol_leafna,3.4,10,0,10,10,1,9
3,bwcontrol_leafna,3.5,10,0,10,10,2,8
3,bwcontrol_leafna,3.6,10,0,10,10,0,10
3,bwcontrol_leafna,3.7,10,0,10,10,0,10
3,bwcontrol_leafna,3.8,10,0,10,10,3,7
3,bwcontrol_leafna,3.9,10,0,10,10,1,9
3,bwcontrol_leafspray,3.37,10,3,7,10,6,4
3,bwcontrol_leafspray,3.38,10,0,10,10,2,8
3,bwcontrol_leafspray,3.39,10,5,5,10,7,3
3,bwcontrol_leafspray,3.4,10,1,9,10,3,7
3,bwcontrol_leafspray,3.41,10,4,6,10,8,2
3,bwcontrol_leafspray,3.42,10,4,6,10,8,2
3,bwdrift_leafna,3.11,10,3,7,10,3,7
3,bwdrift_leafna,3.12,10,0,10,10,2,8
3,bwdrift_leafna,3.13,10,0,10,10,0,10
3,bwdrift_leafna,3.14,10,0,10,10,1,9
3,bwdrift_leafna,3.15,10,0,10,10,1,9
3,bwdrift_leafna,3.16,9,0,9,9,1,8
3,bwdrift_leafna,3.17,6,0,6,6,0,6
3,bwdrift_leafna,3.18,10,0,10,10,1,9
3,bwdrift_leafna,3.19,10,0,10,10,0,10
3,bwdrift_leafna,3.2,10,0,10,10,0,10
3,bwna_leafspray,3.49,10,10,0,10,10,0
3,bwna_leafspray,3.5,10,5,5,10,10,0
3,bwna_leafspray,3.51,10,5,5,10,7,3
3,bwna_leafspray,3.52,10,6,4,10,6,4
3,bwna_leafspray,3.53,10,4,6,10,10,0
3,bwna_leafspray,3.54,10,6,4,10,10,0
3,bwspray_leafna,3.21,10,4,6,10,4,6
3,bwspray_leafna,3.22,10,5,5,10,6,4
3,bwspray_leafna,3.23,10,3,7,10,3,7
3,bwspray_leafna,3.24,10,6,4,10,9,1
3,bwspray_leafna,3.25,10,7,3,10,8,2
3,bwspray_leafna,3.26,10,1,9,10,3,7
3,bwspray_leafna,3.27,10,5,5,10,8,2
3,bwspray_leafna,3.28,10,3,7,10,7,3
3,bwspray_leafna,3.29,10,4,6,10,7,3
3,bwspray_leafna,3.3,10,2,8,10,8,2
3,bwspray_leafspray,3.43,10,6,4,10,8,2
3,bwspray_leafspray,3.44,10,8,2,10,10,0
3,bwspray_leafspray,3.45,10,3,7,10,6,4
3,bwspray_leafspray,3.46,10,5,5,10,9,1
3,bwspray_leafspray,3.47,10,5,5,10,9,1
3,bwspray_leafspray,3.48,10,6,4,10,10,0
4,bwcontrol_leafcontrol,4.31,10,1,9,10,9,1
4,bwcontrol_leafcontrol,4.32,10,0,10,10,3,7
4,bwcontrol_leafcontrol,4.33,10,0,10,10,0,10
4,bwcontrol_leafcontrol,4.34,10,0,10,10,8,2
4,bwcontrol_leafcontrol,4.35,8,0,8,8,5,3
4,bwcontrol_leafcontrol,4.36,10,1,9,10,6,4
4,bwcontrol_leafna,4.1,10,0,10,9,6,3
4,bwcontrol_leafna,4.1,11,0,11,11,10,1
4,bwcontrol_leafna,4.2,10,0,10,9,8,1
4,bwcontrol_leafna,4.3,10,0,10,10,3,7
4,bwcontrol_leafna,4.4,10,2,8,10,10,0
4,bwcontrol_leafna,4.5,10,1,9,10,8,2
4,bwcontrol_leafna,4.6,10,1,9,10,9,1
4,bwcontrol_leafna,4.7,10,1,9,10,10,0
4,bwcontrol_leafna,4.8,9,0,9,9,8,1
4,bwcontrol_leafna,4.9,11,2,9,11,11,0
4,bwcontrol_leafspray,4.37,9,1,8,9,8,1
4,bwcontrol_leafspray,4.38,10,1,9,10,6,4
4,bwcontrol_leafspray,4.39,10,2,8,10,9,1
4,bwcontrol_leafspray,4.4,10,3,7,10,9,1
4,bwcontrol_leafspray,4.41,10,6,4,10,10,0
4,bwcontrol_leafspray,4.42,10,2,8,10,9,1
4,bwdrift_leafna,4.11,10,0,10,10,8,2
4,bwdrift_leafna,4.12,10,1,9,7,4,3
4,bwdrift_leafna,4.13,10,1,9,10,8,2
4,bwdrift_leafna,4.14,10,0,10,10,9,1
4,bwdrift_leafna,4.15,10,1,9,10,4,6
4,bwdrift_leafna,4.16,10,0,10,10,3,7
4,bwdrift_leafna,4.17,10,0,10,10,10,0
4,bwdrift_leafna,4.18,10,0,10,10,2,8
4,bwdrift_leafna,4.19,10,0,10,10,6,4
4,bwdrift_leafna,4.2,10,1,9,10,10,0
4,bwna_leafspray,4.49,10,9,1,10,10,0
4,bwna_leafspray,4.5,10,7,3,10,10,0
4,bwna_leafspray,4.51,10,5,5,10,10,0
4,bwna_leafspray,4.52,11,10,1,11,11,0
4,bwna_leafspray,4.53,9,5,4,9,9,0
4,bwna_leafspray,4.54,10,3,7,10,10,0
4,bwspray_leafna,4.21,9,7,2,9,9,0
4,bwspray_leafna,4.22,10,2,8,10,8,2
4,bwspray_leafna,4.23,11,2,9,11,9,2
4,bwspray_leafna,4.24,10,5,5,10,10,0
4,bwspray_leafna,4.25,10,8,2,10,10,0
4,bwspray_leafna,4.26,10,9,1,10,9,1
4,bwspray_leafna,4.27,10,9,1,10,10,0
4,bwspray_leafna,4.28,10,2,8,10,10,0
4,bwspray_leafna,4.29,10,9,1,10,10,0
4,bwspray_leafna,4.3,10,2,8,10,10,0
4,bwspray_leafspray,4.43,10,5,5,10,10,0
4,bwspray_leafspray,4.44,10,6,4,10,10,0
4,bwspray_leafspray,4.45,10,4,6,10,10,0
4,bwspray_leafspray,4.46,10,4,6,10,9,1
4,bwspray_leafspray,4.47,9,3,6,8,8,0
4,bwspray_leafspray,4.48,10,2,8,10,10,0